Date,Open,High,Low,Close,Adj Close,Volume
2006-09-11,2.586786,2.633214,2.550714,2.589286,2.226534,949124400
2006-09-12,2.600357,2.623214,2.551786,2.593929,2.230526,1684687200
2006-09-13,2.601786,2.654286,2.582143,2.650000,2.278743,1146138000
2006-09-14,2.632857,2.666786,2.623571,2.648929,2.277822,801729600
2006-09-15,2.664286,2.677857,2.617500,2.646429,2.275672,981853600
2006-09-18,2.635714,2.673571,2.617857,2.638929,2.269222,705278000
2006-09-19,2.646429,2.655714,2.600000,2.634643,2.265537,710049200
2006-09-20,2.656429,2.702857,2.650714,2.687857,2.311295,822791200
2006-09-21,2.687500,2.716429,2.643571,2.666071,2.292562,794124800
2006-09-22,2.653571,2.655000,2.592143,2.607143,2.241890,665112000
2006-09-25,2.636071,2.709286,2.632857,2.705357,2.326344,858992400
2006-09-26,2.720714,2.777857,2.717857,2.771786,2.383466,1102948000
2006-09-27,2.756071,2.766786,2.707857,2.728929,2.346614,810373200
2006-09-28,2.750714,2.767143,2.712500,2.750357,2.365041,723609600
2006-09-29,2.753929,2.768571,2.738571,2.749286,2.364119,405812400
2006-10-02,2.682143,2.709643,2.653571,2.673571,2.299011,712639200
2006-10-03,2.658929,2.676786,2.613929,2.645714,2.275057,790708800
2006-10-04,2.646429,2.695000,2.612857,2.692143,2.314981,829082800
2006-10-05,2.661786,2.720000,2.647500,2.672500,2.298089,683883200
2006-10-06,2.657857,2.680000,2.636071,2.650714,2.279357,466958800
2006-10-09,2.635714,2.681429,2.626071,2.665357,2.291948,438222400
2006-10-10,2.662143,2.663571,2.610000,2.636071,2.266765,531588400
2006-10-11,2.622143,2.642143,2.592857,2.615357,2.248953,571855200
2006-10-12,2.628929,2.692500,2.628571,2.687857,2.311295,592855200
2006-10-13,2.701071,2.745714,2.669286,2.679286,2.303926,684196800
2006-10-16,2.685357,2.710000,2.671071,2.692857,2.315595,508692800
2006-10-17,2.680000,2.688214,2.644286,2.653214,2.281507,480925200
2006-10-18,2.669643,2.691786,2.639643,2.661786,2.288877,1133907600
2006-10-19,2.830714,2.855357,2.791429,2.821071,2.425847,1512977200
2006-10-20,2.820357,2.856786,2.809643,2.855357,2.455330,639413600
2006-10-23,2.856786,2.925000,2.848214,2.909286,2.501704,832507200
2006-10-24,2.900357,2.917143,2.864286,2.894643,2.489112,463212400
2006-10-25,2.905357,2.928571,2.893214,2.917143,2.508460,485214800
2006-10-26,2.925000,2.950000,2.897500,2.935357,2.524122,432756800
2006-10-27,2.919643,2.944643,2.857500,2.871786,2.469457,594966400
2006-10-30,2.856786,2.889286,2.839286,2.872143,2.469764,499917600
2006-10-31,2.908929,2.917143,2.865357,2.895714,2.490033,501474400
2006-11-01,2.896429,2.906429,2.798571,2.827143,2.431068,611192400
2006-11-02,2.818571,2.832857,2.803571,2.820714,2.425540,465483200
2006-11-03,2.834286,2.840357,2.778214,2.796071,2.404349,431888800
2006-11-06,2.819643,2.859286,2.801071,2.846786,2.447959,434576800
2006-11-07,2.873214,2.892857,2.861786,2.875357,2.472528,525932400
2006-11-08,2.857857,2.953214,2.853214,2.944643,2.532107,690916800
2006-11-09,2.960714,3.024643,2.932857,2.976429,2.559440,923053600
2006-11-10,2.983929,2.985714,2.946429,2.968571,2.552682,373864400
2006-11-13,2.972143,3.016071,2.951429,3.012500,2.590456,450674000
2006-11-14,3.028571,3.035714,2.996429,3.035714,2.610419,588954800
2006-11-15,3.037500,3.067857,3.000000,3.001786,2.581245,655323200
2006-11-16,3.031071,3.082143,3.022143,3.057500,2.629153,693940800
2006-11-17,3.040714,3.069286,3.035714,3.066071,2.636523,466424000
2006-11-20,3.050000,3.107143,3.042857,3.088214,2.655564,570794000
2006-11-21,3.122143,3.164286,3.111071,3.164286,2.720978,622666800
2006-11-22,3.178214,3.241071,3.137500,3.225357,2.773494,671941200
2006-11-24,3.197500,3.324286,3.196429,3.272500,2.814032,518677600
2006-11-27,3.303929,3.327143,3.196429,3.197857,2.749846,1074836000
2006-11-28,3.227143,3.284643,3.211071,3.278929,2.819561,1036173600
2006-11-29,3.321429,3.326786,3.223214,3.278571,2.819253,1157083200
2006-11-30,3.293214,3.310000,3.252143,3.273571,2.814953,870486400
2006-12-01,3.278571,3.297500,3.217857,3.261429,2.804513,795079600
2006-12-04,3.281429,3.287500,3.232143,3.254286,2.798369,709536800
2006-12-05,3.273214,3.297500,3.245357,3.259643,2.802977,662838400
2006-12-06,3.237143,3.263929,3.202500,3.208214,2.758752,638184400
