Date,Open,High,Low,Close,Adj Close,Volume
2006-07-18,140.619995,142.479996,139.899994,142.339996,116.344490,5874300
2006-07-19,142.699997,147.850006,142.699997,146.970001,120.128960,6079400
2006-07-20,146.699997,147.800003,145.000000,145.179993,118.665840,4264500
2006-07-21,145.050003,145.059998,141.800003,142.039993,116.379913,4682400
2006-07-24,143.300003,147.500000,143.059998,146.899994,120.361908,4610700
2006-07-25,146.899994,149.669998,145.339996,148.490005,121.664680,4984000
2006-07-26,147.500000,148.820007,146.690002,147.380005,120.755188,3326000
2006-07-27,148.699997,149.630005,147.589996,148.259995,121.476219,4085900
2006-07-28,149.649994,152.350006,149.330002,151.720001,124.311150,4752200
2006-07-31,151.600006,153.729996,150.660004,152.750000,125.155098,4370000
2006-08-01,151.630005,151.740005,149.589996,151.259995,123.934250,3468500
2006-08-02,150.259995,150.500000,147.539993,149.899994,122.819931,6139300
2006-08-03,148.750000,153.149994,148.470001,152.100006,124.622520,3854000
2006-08-04,154.000000,156.289993,152.169998,152.990005,125.351707,4892300
2006-08-07,152.119995,154.850006,151.759995,152.649994,125.073181,3029800
2006-08-08,152.649994,155.399994,150.490005,151.449997,124.089951,6199900
2006-08-09,153.500000,153.750000,149.600006,150.009995,122.910027,4234300
2006-08-10,149.500000,152.119995,148.500000,151.630005,124.237396,3782100
2006-08-11,152.350006,152.869995,149.990005,151.110001,123.811279,2576500
2006-08-14,152.479996,153.009995,149.429993,150.369995,123.205017,3110900
2006-08-15,152.380005,153.990005,151.210007,152.649994,125.073181,4907000
2006-08-16,153.949997,155.050003,152.720001,154.990005,126.990433,3563900
2006-08-17,153.899994,156.869995,153.850006,154.449997,126.547981,3365700
2006-08-18,154.449997,154.750000,153.000000,154.679993,126.736412,2742100
2006-08-21,153.160004,154.250000,151.639999,153.830002,126.040001,3731200
2006-08-22,154.360001,155.009995,153.050003,154.149994,126.302162,3696600
2006-08-23,153.410004,154.750000,152.149994,152.699997,125.114090,2811300
2006-08-24,153.550003,153.600006,150.750000,151.399994,124.048927,3100000
2006-08-25,150.690002,151.419998,149.750000,150.070007,122.959221,2476200
2006-08-28,148.250000,150.539993,147.880005,149.529999,122.516739,4151000
2006-08-29,149.600006,149.789993,145.660004,147.089996,120.517563,4939600
2006-08-30,147.199997,147.759995,146.419998,147.059998,120.493004,2938000
2006-08-31,147.070007,148.750000,147.070007,148.649994,121.795723,2834300
2006-09-01,148.699997,149.429993,147.130005,149.139999,122.197220,3453100
2006-09-05,149.750000,151.509995,149.050003,151.279999,123.950630,3576000
2006-09-06,150.649994,151.440002,149.919998,150.669998,123.450829,2962200
2006-09-07,150.100006,150.679993,148.350006,148.570007,121.730232,3577600
2006-09-08,151.000000,151.000000,147.520004,149.800003,122.738007,3277400
2006-09-11,149.250000,151.229996,149.149994,151.000000,123.721237,3134200
2006-09-12,154.750000,159.750000,154.710007,158.289993,129.694214,10644400
2006-09-13,157.699997,162.259995,156.809998,160.860001,131.799988,7605900
