Date,Open,High,Low,Close,Adj Close,Volume
2006-06-09,34.936169,35.302128,34.893616,35.234043,18.817051,1166305
2006-06-12,35.319149,35.668083,35.174469,35.480850,18.948856,843885
2006-06-13,35.531914,35.599998,35.148937,35.182980,18.789780,1161488
2006-06-14,35.182980,35.251064,34.842552,35.021278,18.703419,1033295
2006-06-15,34.578724,34.859573,34.340427,34.621277,18.724129,1117190
2006-06-16,34.553192,34.910637,34.510639,34.680851,18.756350,716045
2006-06-19,34.748936,34.757446,34.085106,34.238297,18.517006,863390
2006-06-20,34.255318,34.306381,34.000000,34.212765,18.503201,988528
2006-06-21,34.085106,34.314896,33.931915,33.982979,18.378920,1098625
2006-06-22,33.948936,33.948936,33.693619,33.846809,18.305275,1177585
2006-06-23,33.846809,33.982979,33.617020,33.761703,18.259251,954218
2006-06-26,33.761703,34.000000,33.719151,33.889362,18.328295,726503
2006-06-27,33.931915,34.051064,33.727661,33.838299,18.300676,682675
2006-06-28,33.940426,34.034042,33.744682,33.991489,18.383526,629565
2006-06-29,34.204254,34.638298,34.042553,34.553192,18.687315,977013
2006-06-30,34.578724,34.697872,34.340427,34.672340,18.751747,1061495
2006-07-03,34.672340,34.876595,34.544682,34.859573,18.853014,377293
2006-07-05,34.621277,34.842552,34.587234,34.697872,18.765558,650010
2006-07-06,34.765957,34.782978,34.544682,34.731915,18.783974,424645
2006-07-07,34.731915,35.234043,34.595745,35.046810,18.954271,764808
2006-07-10,35.217022,35.378723,34.978722,35.302128,19.092354,546728
2006-07-11,35.327660,35.506382,35.234043,35.463829,19.179810,447205
2006-07-12,35.531914,35.531914,35.114895,35.234043,19.055534,755173
2006-07-13,35.242554,35.617020,35.234043,35.429787,19.161394,1164660
2006-07-14,35.361702,35.523403,35.063831,35.174469,19.023314,546140
2006-07-17,35.208511,35.625530,35.174469,35.319149,19.101563,702650
2006-07-18,35.489361,35.489361,35.114895,35.310638,19.096964,867738
2006-07-19,35.480850,35.821278,35.353191,35.548935,19.225834,947403
2006-07-20,35.489361,35.982979,35.463829,35.838299,19.382334,740955
